open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_base_vol,taker_quote_vol,ignore
2019-03-07,137.37,140.2,135.2,136.81,307336.4931,2019-03-07 23:59:59.999,42271691.2428617,114687,152452.19592000,20973151.20639810,0
2019-03-08,136.82,139.34,130.62,133.52,330283.58233,2019-03-08 23:59:59.999,44879637.3870354,113160,164375.46413000,22347697.95005610,0
2019-03-09,133.51,138.65,132.93,137.27,279861.12049,2019-03-09 23:59:59.999,38220614.005662,111544,146108.77784000,19963551.44166850,0
2019-03-10,137.27,137.5,134.0,135.37,203965.16815,2019-03-10 23:59:59.999,27650702.3793393,90905,104700.49828000,14196008.25868890,0
2019-03-11,135.37,136.15,131.0,132.67,264587.00683,2019-03-11 23:59:59.999,35285847.7482702,101371,137778.22305000,18378134.45094610,0
2019-03-12,132.67,135.3,130.77,133.57,194905.96843,2019-03-12 23:59:59.999,25981446.1033466,74222,99412.59836000,13253182.63371060,0
2019-03-13,133.62,133.65,130.58,131.65,209456.09848,2019-03-13 23:59:59.999,27670734.4309227,87617,105332.16365000,13915012.80600360,0
2019-03-14,131.69,135.11,128.52,132.2,258413.81868,2019-03-14 23:59:59.999,34099414.8055834,99000,127625.33507000,16848534.36291330,0
2019-03-15,132.24,137.62,132.18,136.56,295832.26562,2019-03-15 23:59:59.999,39928522.3372778,103920,161856.61972000,21847473.08986880,0
2019-03-16,136.6,144.47,136.51,140.92,474664.10197,2019-03-16 23:59:59.999,66878173.4518186,149612,241316.08941000,33988833.98348000,0
2019-03-17,140.94,141.07,137.2,138.67,252697.08148,2019-03-17 23:59:59.999,35051209.9303395,88617,127490.10880000,17685080.58081430,0
2019-03-18,138.67,142.01,136.1,137.59,281718.96195,2019-03-18 23:59:59.999,39017864.9224565,94109,136354.75075000,18886795.75555080,0
2019-03-19,137.62,139.38,136.97,138.55,218577.45208,2019-03-19 23:59:59.999,30175322.0784989,82348,109609.32108000,15133834.08545860,0
2019-03-20,138.56,139.66,136.01,139.01,222883.51754,2019-03-20 23:59:59.999,30757997.8115518,83814,111862.81746000,15442583.43025020,0
2019-03-21,139.04,139.55,131.21,134.85,312531.39368,2019-03-21 23:59:59.999,42635937.4891712,113797,152957.11763000,20873314.59166730,0
2019-03-22,134.85,137.2,134.29,135.98,186119.74745,2019-03-22 23:59:59.999,25309122.7264498,79782,86857.86292000,11807827.63999080,0
2019-03-23,135.92,138.21,135.6,137.28,174710.43059,2019-03-23 23:59:59.999,23922572.3588934,73884,89401.14291000,12241766.49107050,0
2019-03-24,137.28,137.37,134.75,136.09,198490.45124,2019-03-24 23:59:59.999,27042322.6952009,82361,104851.44764000,14288924.60661310,0
2019-03-25,136.12,136.83,131.6,133.98,230880.285,2019-03-25 23:59:59.999,31082445.5932449,98246,113167.35254000,15241833.92879750,0
2019-03-26,133.97,134.74,132.27,134.18,183139.11426,2019-03-26 23:59:59.999,24490323.0607397,86841,97876.42094000,13089415.40787600,0
2019-03-27,134.14,140.14,133.84,139.45,317167.45325,2019-03-27 23:59:59.999,43635238.4289265,119271,160680.98018000,22102568.28071680,0
2019-03-28,139.46,139.57,137.3,137.86,163185.6991,2019-03-28 23:59:59.999,22543474.6122913,73225,84450.31652000,11668218.28082960,0
2019-03-29,137.85,143.6,137.62,143.25,235853.0454,2019-03-29 23:59:59.999,33098245.9556135,94717,131841.45562000,18506823.91480350,0
2019-03-30,143.25,145.89,140.06,142.46,254798.70067,2019-03-30 23:59:59.999,36382647.2268952,97751,129968.43382000,18560580.29600510,0
2019-03-31,142.44,142.5,140.42,141.38,142469.21171,2019-03-31 23:59:59.999,20131931.6990724,65047,72121.13189000,10190807.12342620,0
2019-04-01,141.41,143.08,139.57,141.24,234310.19161,2019-04-01 23:59:59.999,33234998.6438733,90705,113803.35890000,16144688.87610520,0
2019-04-02,141.24,165.6,141.0,163.31,906868.8586,2019-04-02 23:59:59.999,138094679.3020432,289637,482112.08002000,73443507.92001220,0
2019-04-03,163.26,177.81,149.23,159.96,1345344.53845,2019-04-03 23:59:59.999,225523896.2014656,423036,689694.17267000,115677526.53015950,0
2019-04-04,159.96,164.0,152.8,157.36,686080.95248,2019-04-04 23:59:59.999,109082183.5877348,242989,356683.70225000,56656754.55285080,0
2019-04-05,157.33,167.83,155.94,164.77,516070.34553,2019-04-05 23:59:59.999,84123101.326904,175261,271221.49370000,44191135.16520730,0
2019-04-06,164.84,172.77,159.2,165.5,528168.33297,2019-04-06 23:59:59.999,87657058.1149817,163384,246862.26683000,40956422.16867850,0
2019-04-07,165.56,175.43,164.06,174.21,465507.52497,2019-04-07 23:59:59.999,78876773.2967177,161529,242883.45203000,41159550.07587610,0
2019-04-08,174.29,185.87,170.9,178.72,873410.07285,2019-04-08 23:59:59.999,156417981.3021178,272413,427707.91163000,76637333.17360620,0
2019-04-09,178.71,179.17,171.05,174.6,431986.36108,2019-04-09 23:59:59.999,75745619.5720787,156659,215364.15603000,37760201.75046900,0
2019-04-10,174.58,183.77,168.0,177.12,523943.20498,2019-04-10 23:59:59.999,93283836.587114,171960,259905.55155000,46278256.16948190,0
2019-04-11,177.12,177.48,158.27,164.07,661305.30321,2019-04-11 23:59:59.999,110201659.9478763,224876,324992.46047000,54204202.70090110,0
2019-04-12,164.06,166.5,158.11,163.19,316337.87823,2019-04-12 23:59:59.999,51556919.1461367,124732,150876.36061000,24590803.15625700,0
2019-04-13,163.2,165.37,160.74,162.99,179237.74574,2019-04-13 23:59:59.999,29247030.1526373,75202,86353.32588000,14092848.80131650,0
2019-04-14,162.99,168.11,161.2,167.23,186977.66211,2019-04-14 23:59:59.999,30640985.0609499,72468,94730.83063000,15525685.95866870,0
2019-04-15,167.21,168.81,155.7,159.95,351548.9079,2019-04-15 23:59:59.999,57215098.1117043,113590,172067.32017000,27988295.61232120,0
2019-04-16,159.91,166.73,159.41,165.37,240370.50441,2019-04-16 23:59:59.999,39245823.494595,82937,114539.76934000,18700484.07163180,0
2019-04-17,165.41,167.28,163.78,165.75,227841.54981,2019-04-17 23:59:59.999,37678036.5964673,85475,108219.24290000,17898625.68796760,0
2019-04-18,165.75,175.2,165.04,173.33,396118.94407,2019-04-18 23:59:59.999,68031293.2325779,114728,187459.43239000,32180911.95154910,0
2019-04-19,173.34,173.55,168.59,172.64,320541.72166,2019-04-19 23:59:59.999,54991300.1097207,104551,164821.29068000,28289262.99657850,0
2019-04-20,172.66,176.97,169.87,172.88,253596.48407,2019-04-20 23:59:59.999,43939979.0160537,94403,123125.92238000,21340355.65037730,0
2019-04-21,172.89,173.48,164.82,168.59,283450.43943,2019-04-21 23:59:59.999,47781349.4020958,108394,143539.87051000,24194584.25416820,0
2019-04-22,168.59,172.3,167.0,170.52,269868.39876,2019-04-22 23:59:59.999,45832751.057015,96396,138724.48160000,23564465.86510100,0
2019-04-23,170.52,175.83,167.78,169.16,363523.34531,2019-04-23 23:59:59.999,62784241.170476,126520,173307.59552000,29939794.28800970,0
2019-04-24,169.15,169.87,159.26,164.78,426497.04153,2019-04-24 23:59:59.999,70076178.2845027,154469,213010.94018000,35036327.18997160,0
2019-04-25,164.78,165.49,150.35,154.72,422657.03239,2019-04-25 23:59:59.999,67326464.6484704,139927,207493.18153000,33080029.97383670,0
2019-04-26,154.7,162.56,151.4,157.95,500355.86283,2019-04-26 23:59:59.999,78334214.8744062,162730,265522.61201000,41573088.73276040,0
2019-04-27,157.93,166.24,156.35,159.31,215918.63842,2019-04-27 23:59:59.999,34294277.9954465,89809,107892.49091000,17154456.89726020,0
2019-04-28,159.32,160.24,156.92,157.85,152976.30181,2019-04-28 23:59:59.999,24304182.1410825,72048,75258.19531000,11957085.71193240,0
2019-04-29,157.86,159.05,152.0,155.11,243591.94898,2019-04-29 23:59:59.999,37892463.2904875,98779,112271.92569000,17468433.96774870,0
2019-04-30,155.14,162.89,155.11,161.83,305056.24653,2019-04-30 23:59:59.999,48352308.3471109,109233,151942.02827000,24090968.44466590,0
2019-05-01,161.85,163.88,158.36,160.19,192517.62763,2019-05-01 23:59:59.999,30965351.6968463,88509,94853.75564000,15258332.57833260,0
2019-05-02,160.2,163.48,158.5,161.81,289519.02025,2019-05-02 23:59:59.999,46716417.0127823,97201,146854.42652000,23699004.03090240,0
2019-05-03,161.82,170.86,160.99,168.06,416357.52123,2019-05-03 23:59:59.999,69185162.5971677,136042,207707.51957000,34533057.35576520,0
2019-05-04,168.1,171.3,159.76,163.7,312928.58349,2019-05-04 23:59:59.999,51596174.4008955,115264,154550.58103000,25484130.13772690,0
2019-05-05,163.71,165.36,159.18,163.05,176029.10445,2019-05-05 23:59:59.999,28659516.7862457,79825,87458.50631000,14243649.41616770,0
2019-05-06,163.05,178.05,157.55,173.0,506528.14278,2019-05-06 23:59:59.999,86112232.475863,151543,279631.33418000,47643694.02364830,0
2019-05-07,172.98,182.76,167.89,169.18,732496.87861,2019-05-07 23:59:59.999,129206700.1276838,208268,359208.70506000,63321000.84589700,0
2019-05-08,169.07,173.17,164.8,170.85,296436.29384,2019-05-08 23:59:59.999,50312349.784776,108814,143905.37197000,24437499.25471350,0
2019-05-09,170.88,173.88,166.57,170.9,284663.99456,2019-05-09 23:59:59.999,48482365.5414184,111190,139490.30992000,23762799.56990610,0
2019-05-10,170.96,176.7,168.46,172.91,425543.74021,2019-05-10 23:59:59.999,73717438.6539584,142024,217209.97186000,37614456.10385590,0
2019-05-11,172.92,205.23,172.92,190.2,885292.38389,2019-05-11 23:59:59.999,167180496.7623297,246217,460145.37432000,86846859.53151820,0
2019-05-12,190.2,204.32,181.0,188.11,823372.28148,2019-05-12 23:59:59.999,157611011.7252508,228585,414771.23650000,79418296.11443720,0
2019-05-13,188.07,206.87,185.32,195.84,669265.46524,2019-05-13 23:59:59.999,131102303.1385697,190439,345029.21196000,67607153.36016660,0
2019-05-14,195.83,219.81,194.19,216.4,864211.00603,2019-05-14 23:59:59.999,179717430.3107268,248577,451375.98025000,93947890.71133800,0
2019-05-15,216.4,250.27,216.21,248.1,574697.29927,2019-05-15 23:59:59.999,135054369.6175697,176272,300224.48606000,70516284.66343350,0
2019-05-16,248.06,279.76,241.76,264.25,1733360.8936,2019-05-16 23:59:59.999,452410350.051738,553635,896705.83686000,234005191.94874480,0
2019-05-17,264.35,268.74,223.43,244.3,1529892.56898,2019-05-17 23:59:59.999,366429299.2028029,517016,766433.52488000,183703911.74781870,0
2019-05-18,244.31,248.0,230.62,233.6,673218.09982,2019-05-18 23:59:59.999,160450040.8069193,236314,350733.36784000,83590128.49646950,0
2019-05-19,233.57,264.0,231.77,259.51,823859.06342,2019-05-19 23:59:59.999,207383027.8264837,285496,427121.32949000,107527272.36286440,0
2019-05-20,259.37,259.49,238.0,250.37,666889.82241,2019-05-20 23:59:59.999,165783106.0770302,246484,341913.40218000,85002307.42125140,0
2019-05-21,250.48,262.0,246.06,253.43,580249.69753,2019-05-21 23:59:59.999,146749988.2737374,229662,296180.05712000,74931122.16417110,0
